第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
苞大怒，飞身上马，手挺父所使丈八点钢矛，大叫曰：“你敢与我比试武艺否？” 兴亦上马，绰家传大砍刀纵马而出曰：“偏你能使矛！	Trương Bào nổi giận, vác ngay ngọn bát xà mâu của cha khi xưa, nhảy lên ngựa gọi to lên rằng: - Mày có dám thi võ với ta không? Hưng cũng vác thanh đại đao gia truyền, nhảy lên ngựa chạy ra, nói: - Mày biết sử mâu, dễ thường ta không biết sử đao hẳn?
吾岂不能使刀！”	
二将方欲交锋，先主喝曰：“二子休得无礼！”	Hai tướng toan xông vào đánh nhau, tiên chủ quát mắng rằng: - Hai thằng kia không được vô lễ!
兴、苞二人慌忙下马，各弃兵器，拜伏请罪。	Hưng, Bào vội vàng xuống ngựa, bỏ đồ khí giới, lạy phục xuống đất xin chịu tội.
先主曰：“朕自涿郡与卿等之父结异姓之交，亲如骨肉；今汝二人亦是昆仲之分，正当同心协力，共报父仇；奈何自相争竞，失其大义！	Tiên chủ nói: - Trẫm từ khi ở Trác Quận, cùng với hai cha cháu, kết làm anh em, thân như ruột thịt. Nay hai cháu đều là anh em với nhau, lẽ phải đồng tâm hiệp lực, báo thù cho cha, sao lại dám tranh giành nhau, mà bỏ mất cả đại nghĩa?
父丧未远而犹如此，况日后乎？”	Cha chết chưa được bao lâu, mà còn thế này nữa thì về sau còn tệ đến đâu?
二人再拜伏罪。	Hai tướng lại lạy chịu lỗi.
先主问曰：“卿二人谁年长？”	Tiên chủ nói: - Hai cháu hơn kém nhau bao nhiêu tuổi?
苞曰：“臣长关兴一岁。”	Trương Bào thưa: - Tôi lớn hơn Quan Hưng một tuổi.
先主即命兴拜苞为兄。	Tiên chủ liền sai Quan Hưng nhường Trương Bào làm anh.
二人就帐前折箭为誓，永相救护。	Hai người lập tức ở tại trước trướng, bẻ một mũi tên ăn thề, cứu giúp lẫn nhau mãi mãi.
先主下诏使吴班为先锋，令张苞、关兴护驾。	Tiên chủ giáng chiếu sai Ngô Ban làm tiên phong.
水陆并进，船骑双行，浩浩荡荡，杀奔吴国来。	Quan Hưng, Trương Bào đi hộ giá. Quân thủy bộ rầm rộ kéo sang nước Ngô.
却说范疆、张达将张飞首级，投献吴侯，细告前事。	Nói về Phạm Cương, Trương Đạt đem đầu lâu Trương Phi dâng lên Ngô hầu, thuật lại chuyện trước.
孙权听罢，收了二人，乃谓百官曰：“今刘玄德即了帝位，统精兵七十余万，御驾亲征，其势甚大，如之奈何？”	Quyền cho hai người ở đó, rồi bảo với các quan rằng: - Lưu Huyền Đức lên ngôi Hoàng Đế, thân thống lĩnh hơn bảy mươi vạn tinh binh, sang đánh nước ta, binh thế to quá, nên nghĩ thế nào bây giờ?
百官尽皆失色，面面相觑。	Các quan thấy nói vậy, ai nấy đều tái mặt, nhìn ngó lẫn nhau.
诸葛瑾出曰：“某食君侯之禄久矣，无可报效，愿舍残生，去见蜀主，以利害说之，使两国相和，共讨曹丕之罪。”	Gia Cát Cẩn bước ra thưa rằng: - Tôi ăn lộc của quân hầu đã lâu, không biết lấy gì báo ơn được. Nay xin liều bỏ cái mạng sống này, sang sứ bên Thục, đem đường lợi hại bảo với Huyền Đức, để cho hai nước hòa với nhau, mà hợp sức lại hỏi tội Tào Phi.
权大喜，即遣诸葛瑾为使，来说先主罢兵。	Quyền mừng lắm, sai ngay Gia Cát Cẩn đi sứ, sang nói để tiên chủ rút quân về.
正是：两国相争通使命，一言解难赖行人。	Đó là: Hai nước giao tranh sai sứ đến, Một lời nói khéo cậy người đi.
未知诸葛瑾此去如何，且看下文分解。	Chưa biết Gia Cát Cẩn đi nói ra làm sao, xem hồi sau sẽ rõ.
第八十二回孙权降魏受九锡先主征吴赏六军	HỒI 82 Tôn Quyền hàng Ngụy, chịu cửu tích; Tiên chủ đánh Ngô, thưởng sáu quân
却说章武元年秋八月，先主起大军至夔关，驾屯白帝城。	Bấy giờ là năm Chương Vũ thứ nhất (220) mùa thu tháng tám, tiên chủ khởi đại quân kéo đến ải Qui Quan, xa giá đóng trong thành Bạch Đế.
前队军马已出川口。	Quân tiền đội thì đã ra khỏi Xuyên.
近臣奏曰：“吴使诸葛瑾至。”	Có cận thần vào báo rằng: - Đông Ngô sai Gia Cát Cẩn đến.
先主传旨教休放入。	Tiên chủ truyền chỉ không cho vào.
黄权奏曰：“瑾弟在蜀为相，必有事而来。 陛下何故绝之？	Hoàng Quyền tâu rằng: - Em Gia Cát Cẩn hiện đang làm tướng ở Thục, chắc có việc gì hắn mới đến đây, bệ hạ sao lại không cho vào?
当召入，看他言语。 可从则从；如不可，则就借彼口说与孙权，令知问罪有名也。”	Xin bệ hạ cứ cho vào, xem nói năng làm sao, nên nghe thì nghe, không nên nghe thì mượn mồm hắn bảo với Tôn Quyền, cho biết việc ta sang hỏi tội là chính đáng.
先主从之，召瑾入城。	Tiên chủ nghe lời, cho đòi Cẩn vào thành.
瑾拜伏于地。	Cẩn lạy thụp xuống đất.
先主问曰：“子瑜远来，有何事故？”	Tiên chủ hỏi: - Tử Du từ xa đến đây có việc gì?
瑾曰：“臣弟久事陛下，臣故不避斧钺，特来奏荆州之事。 前者，关公在荆州时，吴侯数次求亲，关公不允。	Cẩn thưa: - Em tôi thờ bệ hạ đã lâu, cho nên tôi dám liều đến đây, xin tâu việc Kinh Châu: Khi trước Quan Công ở Kinh Châu, Ngô hầu mấy lần đến cầu thân, Quan Công đều không thuận cả.
后关公取襄阳，曹操屡次致书吴侯，使袭荆州；吴侯本不肯许，因吕蒙与关公不睦，故擅自兴兵，误成大事，今吴侯悔之不及。	Về sau, khi Quan Công lấy Tương Dương, Tào Tháo mấy lần đưa thư đến xui Ngô hầu úp lấy Kinh Châu, Ngô hầu vốn không muốn nghe, nhưng vì Lã Mông không hòa thuận với Quan Công, tự tiện cất quân, chẳng may mới xảy ra cớ sự thế này, nay Ngô hầu hối lại không kịp.
此乃吕蒙之罪，非吴侯之过也。	Đó thực là tội Lã Mông, chớ không phải lỗi tại Ngô hầu.
今吕蒙已死，冤仇已息。	Hiện nay, Lã Mông chết rồi, oán thù đã hết.
孙夫人一向思归。	Tôn phu nhân lâu nay vẫn mong nhớ muốn về.
今吴侯令臣为使，愿送归夫人，缚还降将，并将荆州仍旧交还，永结盟好，共灭曹丕，以正篡逆之罪。”	Vậy Ngô hầu sai tôi sang đây, xin đưa phu nhân về, trói những hàng tướng đem nộp và trao trả lại Kinh Châu, kết lại hòa hiếu với nhau, cùng đánh Tào Phi, để trị cái tội cướp ngôi vua.
先主怒曰：“汝东吴害了朕弟，今日敢以巧言来说乎！”	Tiên chủ giận, nói: - Đông Ngô hại mất em trẫm, hôm nay dám lại đây nói khéo à?
瑾曰：“臣请以轻重大小之事，与陛下论之：陛下乃汉朝皇叔，今汉帝已被曹丕篡夺，不思剿除；却为异姓之亲，而屈万乘之尊：是舍大义而就小义也。	Cẩn nói: - Tôi xin đem cái lẽ lớn nhỏ, nặng nhẹ bàn với bệ hạ: Bệ hạ là hoàng thúc nhà Hán. Nay vua Hán bị Tào Phi cướp ngôi, bệ hạ không nghĩ đến việc tiễu trừ, mà lại vì một người anh em khác họ, khó nhọc đến thân tôn quý muôn cỗ xe, thế là bỏ nghĩa lớn để làm một điều nghĩa nhỏ đó.
中原乃海内之地，两都皆大汉创业之方，陛下不取，而但争荆州：是弃重而取轻也。	Trung nguyên là khu đất to nhất trong bốn bể; hai thành đô đều là chỗ nhà Hán gây dựng cơ nghiệp, bệ hạ không lấy chỗ ấy, mà chỉ tranh một xứ Kinh Châu, thế là bỏ chỗ nặng mà tìm chỗ nhẹ đó.
天下皆知陛下即位，必兴汉室，恢复山河；今陛下置魏不问，反欲伐吴：窃为陛下不取。”	Thiên hạ ai cũng tưởng rằng bệ hạ lên ngôi, thế nào cũng gầy dựng nhà Hán, lấy lại giang sơn, nay bệ hạ lại không hỏi đến nước Ngụy mà cứ muốn đánh Ngô, thiết tưởng bệ hạ có điều gì không nghĩ tới chăng?
先主大怒曰：“杀吾弟之仇，不共戴天！	Tiên chủ nổi giận lên, nói: - Cái thù giết mất em trẫm, trẫm thề không đội trời chung!
欲朕罢兵，除死方休！	Trừ ra trẫm chết đi thì thôi, chớ còn trẫm không sao bãi binh được!
不看丞相之面，先斩汝首！	Nếu trẫm không nể thừa tướng, thì chém đầu nhà ngươi trước đó!
今且放汝回去，说与孙权：洗颈就戮！”	Nay hãy tha cho nhà ngươi về bảo với Tôn Quyền hãy rửa cổ trước đi mà chịu chết.
诸葛瑾见先主不听，只得自回江南。	Gia Cát Cẩn thấy tiên chủ không nghe, cực chẳng đã phải trở về Giang Nam.
却说张昭见孙权曰：“诸葛子瑜知蜀兵势大，故假以请和为辞，欲背吴入蜀。	Trương Chiêu nói với Tôn Quyền rằng: - Gia Cát Tử Du thấy quân Thục thế to lắm, cho nên nói thác là sang cầu hòa, kỳ thực là muốn bỏ Ngô vào Thục, chuyến này đi tất không về.
此去必不回矣。” 权曰：“孤与子瑜，有生死不易之盟；孤不负子瑜，子瑜亦不负孤。	Quyền nói: - Cô với Tử Du, có cái nghĩa sống chết không thể thay lòng. Cô không phụ Tử Du, Tử Du tất cũng không phụ Cô.
昔子瑜在柴桑时，孔明来吴，孤欲使子瑜留之。	Khi xưa Tử Du ở Sài Tang, Khổng Minh đến Đông Ngô ta.
子瑜曰：弟已事玄德，义无二心；弟之不留，犹瑾之不往。 其言足贯神明。	Cô định sai Tử Du ra lưu Khổng Minh ở lại, thì Tử Du có nói rằng: "Em tôi đã thờ Huyền Đức, nghĩa phải giữ một niềm. Em tôi không chịu ở, cũng như tôi không chịu đi".
今日岂肯降蜀乎？	Xem như lời ấy, dẫu thần minh cũng phải cảm động, nay sao chịu theo hàng với Thục?
孤与子瑜可谓神交，非外言所得间也。”	Cô với Tử Du tin nhau tận ruột gan, chớ không vì lời ngoài tai mà lìa nhau được!
正言间，忽报诸葛瑾回。	Đang nói chuyện thì Gia Cát Cẩn đã trở về.
权曰：“孤言若何？”	Quyền bảo Trương Chiêu rằng: - Đó, Cô nói có sai đâu!
张昭满面羞惭而退。	Trương Chiêu thẹn đỏ mặt, lui ra.
瑾见孙权，言先主不肯通和之意。	Cẩn vào ra mắt Tôn Quyền, thuật lại chuyện tiên chủ không nghe giảng hòa.
权大惊曰：“若如此，则江南危矣！”	Quyền giật mình nói rằng: - Nếu thế thì Giang Nam nguy mất!
阶下一人进曰：“某有一计，可解此危。” 视之，乃中大夫赵咨也。	Triệu Tư ở dưới thềm bước lên thưa rằng: - Tôi có một kế này, đủ cứu được việc nguy cấp ấy.
权曰：“德度有何良策？”	Quyền hỏi: - Đức Độ có mẹo gì hay vậy?
咨曰：“主公可作一表，某愿为使，往见魏帝曹丕，陈说利害，使袭汉中，则蜀兵自危矣。”	Tư thưa: - Chúa công nên làm một bài biểu, tôi xin sang sứ nước Ngụy, ra mắt vua Ngụy là Tào Phi, bày việc lợi hại, để Ngụy đến úp Hán Trung, quân Thục tự nhiên phải nguy, đánh thế nào được ta nữa mà sợ!
权曰：“此计最善。 但卿此去，休失了东吴气象。”	Quyền nói: - Kế ấy hay lắm, nhưng ngươi đi chuyến này, chớ có để mất thể diện Đông Ngô nhé!
咨曰：“若有些小差失，即投江而死，安有面目见江南人物乎！”	Tư thưa: - Nếu tôi để lầm lỡ điều gì, thà rằng đâm đầu xuống sông mà chết, còn mặt mũi nào trông thấy người Giang Nam nữa!
权大喜，即写表称臣，令赵咨为使。 星夜到了许都，先见太尉贾诩等并大小官僚。	Quyền mừng lắm, lập tức viết biểu, xưng là thần, sai Triệu Tư đi sứ, đến thẳng Hứa Đô, trước hết vào ra mắt quan thái úy Giả Hủ và các quan lớn nhỏ khác.
次日早朝，贾诩出班奏曰：“东吴遣中大夫赵咨上表。”	Sáng hôm sau, khai chầu, Giả Hủ ra ban tâu rằng: - Tâu bệ hạ, Đông Ngô có sai trung đại phu là Triệu Tư sang đây dâng biểu.
曹丕笑曰：“此欲退蜀兵故也。”	Tào Phi cười, nói: - Đây là mẹo Đông Ngô muốn đuổi lui quân Thục đây!
即令召入。	Liền cho đòi Triệu Tư vào.
咨拜伏于丹墀。	Tư vào lạy ở dưới thềm son, dâng tờ biểu lên.
丕览表毕，遂问咨曰：“吴侯乃何如主也：”咨曰：“聪明、仁智、雄略之主也。”	Phi xem biểu xong hỏi rằng: - Ngô hầu là bậc chúa như thế nào? Tư tâu rằng: - Là bậc chúa thông, minh, nhân, trí, hùng, lược.
丕笑曰：“卿褒奖毋乃太甚？”	Phi cười, nói: - Có phải khanh quá khen đó chăng?
咨曰：“臣非过誉也。	Tư nói: - Không phải tôi khen quá lời đâu.
吴侯纳鲁肃于凡品，是其聪也；拔吕蒙于行阵，是其明也；获于禁而不害，是其仁也；取荆州兵不血刃，是其智也；据三江虎视天下，是其雄也；屈身于陛下，是其略也：以此论之，岂不为聪明、仁智、雄略之主乎？”	Chủ tôi dùng Lỗ Túc ở trong bọn tầm thường, đó là thông, cất Lã Mông ở trong đám hành trận, đó là minh; bắt được Vu Cấm không nỡ hại, đó là nhân, lấy Kinh Châu, máu không dây đến mũi gươm, đó là trí; giữ ba con sông, như hổ ngồi nhìn thiên hạ, đó là hùng; nay còn phải chịu kém bệ hạ một bậc, đó là lược. Cứ thế mà suy ra, đó chẳng phải là ông chúa thông, minh, nhân, trí, hùng, lược là gì?
丕又问曰：“吴主颇知学乎？”	Phi lại hỏi: - Ngô chủ có học hành gì không?
咨曰：“吴主浮江万艘，带甲百万，任贤使能，志存经略；少有余闲，博览书传，历观史籍，采其大旨，不效书生寻章摘句而已。”	Tư nói: - Ngô chủ tôi có hàng vạn chiếc thuyền kín mặt sông; giáp binh hàng trăm vạn; dùng người hiền; khiến người tài, có chí sửa sang việc thiên hạ, lúc nào thong thả thì xem rộng cả sách vở, nhưng chỉ nắm lấy cái đại ý chứ không bắt chước những phường học trò, tìm từng câu, dò từng chương làm gì!
